grib_id,hrap_x,hrap_y
193391,579,173
193392,580,173
193393,581,173
194491,558,174
194492,559,174
194493,560,174
194494,561,174
194495,562,174
194496,563,174
194497,564,174
194498,565,174
194499,566,174
194500,567,174
194501,568,174
194502,569,174
194503,570,174
194504,571,174
194505,572,174
194506,573,174
194507,574,174
194508,575,174
194509,576,174
194510,577,174
194511,578,174
194512,579,174
194513,580,174
194514,581,174
195621,567,175
195622,568,175
195623,569,175
195624,570,175
195625,571,175
195626,572,175
195627,573,175
195628,574,175
195629,575,175
195630,576,175
195631,577,175
195632,578,175
196750,575,176
196751,576,176
196752,577,176
196753,578,176
161939,515,145
163060,515,146
164181,515,147
165302,515,148
166422,514,149
166423,515,149
167543,514,150
167544,515,150
168664,514,151
169784,513,152
169785,514,152
170904,512,153
170905,513,153
170906,514,153
172025,512,154
172026,513,154
172027,514,154
173146,512,155
173147,513,155
173148,514,155
174267,512,156
174268,513,156
174269,514,156
175387,511,157
175388,512,157
175389,513,157
175390,514,157
176507,510,158
176508,511,158
176509,512,158
176510,513,158
176511,514,158
177628,510,159
177629,511,159
177630,512,159
177631,513,159
177632,514,159
178749,510,160
178750,511,160
178751,512,160
178752,513,160
178753,514,160
179870,510,161
179871,511,161
179872,512,161
179873,513,161
179874,514,161
180992,511,162
180993,512,162
180994,513,162
180995,514,162
182113,511,163
182114,512,163
182115,513,163
183235,512,164
183236,513,164
184356,512,165
184357,513,165
185477,512,166
185478,513,166
186599,513,167
187720,513,168
189964,515,170
192226,535,172
192227,536,172
192228,537,172
193349,537,173
193350,538,173
193351,539,173
193352,540,173
193353,541,173
193354,542,173
193355,543,173
193356,544,173
193357,545,173
193358,546,173
193359,547,173
194470,537,174
194471,538,174
194472,539,174
194473,540,174
194474,541,174
194475,542,174
194476,543,174
194477,544,174
194478,545,174
194479,546,174
194480,547,174
194481,548,174
195591,537,175
195592,538,175
195593,539,175
195594,540,175
195595,541,175
195596,542,175
195597,543,175
195598,544,175
195614,560,175
195615,561,175
195616,562,175
195617,563,175
195618,564,175
195619,565,175
195620,566,175
196715,540,176
196716,541,176
196717,542,176
196718,543,176
196738,563,176
196739,564,176
196743,568,176
196744,569,176
196745,570,176
196746,571,176
196747,572,176
196748,573,176
196749,574,176
197865,569,177
197866,570,177
197867,571,177
197868,572,177
197869,573,177
197870,574,177
197871,575,177
197872,576,177
197873,577,177
198988,571,178
198989,572,178
198990,573,178
198991,574,178
198992,575,178
198993,576,178
150758,544,135
150759,545,135
150760,546,135
150761,547,135
151878,543,136
151879,544,136
151880,545,136
151881,546,136
151882,547,136
151883,548,136
152998,542,137
152999,543,137
153000,544,137
153001,545,137
153002,546,137
153003,547,137
153004,548,137
153005,549,137
153006,550,137
154116,539,138
154117,540,138
154118,541,138
154119,542,138
154120,543,138
154121,544,138
154122,545,138
154123,546,138
154124,547,138
154125,548,138
154126,549,138
154127,550,138
155224,526,139
155225,527,139
155226,528,139
155228,530,139
155229,531,139
155230,532,139
155231,533,139
